year,mass,mission,organisation,description_verbatim,failure_severity,never_heard_from,failure_inferred_only_from_absence_of_publications,source,source_type
2012,1 kg,CP5 Cal Poly Picosatellite Project,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,3U,CSSWE,Unknown,"Communication with the satellite was lost 6 months University of Colorado, Boulder, CO after commissioning due to a latch up event in the radio. Fortunately, a battery draining anomaly 3 months later caused the entire system to power cycle. This cleared the latch up in the radio and communications were reestablished.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,2.6 kg,CXBN Morehead State University,KY,The SNR (Signal-to-Noise Ratio) was too low on most passes to allow the project to download a significant amount of data.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1U,E-ST@R Politecnico di Torino,Italy Mission terminated by un,"E-ST@R Politecnico di Torino, Italy Mission terminated by unexpected, uncontrollable tumbling of the satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1 kg,F-1 FPT Technology Research Institute,"Hanoi, Vietnam","Successfully deployed from the ISS, but no signal were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1.3 kg,GOLIAT Bucharest University and Bucharest Polytechnic University sponsored by the Romanian Space Agency (ROSA),Unknown,The satellite could not be stabilized in orbit.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,7.1 kg,HORYU-2 Kyushu Institute of Technology (KIT),"Fukuoka, Japan","The HORYU-2 nanosatellite suffered an anomaly due to a single event latchup event for one month, during which no experimentation could be done. It is believed a single event latch-up (SEL) due to radiation was the most probable cause for both microprocessors.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,160 kg,30 kg HummerSat 1 and 1A SAST,China Intended to demonstrate,"30 kg HummerSat 1 and 1A SAST, China Intended to demonstrate formation flying, but daughter satellite did not deploy from mother satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,15 kg,PROITERES Could not respond to any ground commands due to a,Unknown,"PROITERES Could not respond to any ground commands due to a Osaka Institute of Technology, Japan design error in the flight computer boot loop.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1U,PW-Sat Warsaw University of Technology,Unknown,"The PW-Sat CubeSat’s power consumption was higher than expected. Mission turned silent on Dec. 23, 2012 due to power budget problems after a few months of operation.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,30 kg,ROBUSTA CNES,Unknown,"The Robusta satellite emitted a weak signal at the beginning of the mission, then failed. A fabrication defect prevented the CubeSat’s batteries from being charged.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,4 kg,STARE-A Lawrence Livermore National Laboratory,Unknown,Communication issues prevented any operations to be performed.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,120 kg,TET-1 DLR,Unknown,"The temperature within the satellite was higher than predicted, causing the battery voltage to be slightly exceeded. Re-orienting the attitude of the satellite remedied this problem.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1U,UniCubeSat-GG University of Rome,Unknown,"After launch, the CubeSat began tumbling very rapidly, preventing communications from being established.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1U,WE WISH Meisei Electric Co.,Japan,"Successfully deployed from the ISS, but no signal were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,1U,Xatcobeo University of Vigo and the National Institute for A,Unknown,"Xatcobeo University of Vigo and the National Institute for Aerospace Technology, Madrid, Spain. Operations were disturbed by unexpected tumbling.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2012,156 kg,Zond-PP Lavochkin Roskosmos,Russia Mission loss due to undi,"Zond-PP Lavochkin Roskosmos, Russia Mission loss due to undisclosed software failure in orbit.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,ArduSat 1 and X Primary mission was to provide a bank of Arduino processors on which students could run code,Unknown,No reports of any student doing this are found in the literature nor on the Arduino web page.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,BeeSat-3 Technical University,Berlin,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,Black Knight 1 (BK 1) West Point Military Academy,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,CAPE 2 University of Louisiana,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,ChargerSat-1 University of Alabama,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,CINEMA-2 University of California,"Berkeley, Imperial College London, Kyung Hee University, and NASA Ames Research Center","Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,CINEMA-3 University of California,"Berkeley, Imperial College London, Kyung Hee University, and NASA Ames Research Center","Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,2 kg,Cubebug-1,Unknown,Presumed mission failure. May have been hit by space debris from Soviet rocket booster. No papers or articles were written post launch.,Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,25 kg,CUSat (Nanosat 4) Cornell University As a package of two,"identical satellites launched together, one was supposed to inspect the other in orbit","One satellite was damaged during testing. Test plan for remaining satellite re-scoped, but no mission results reported.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1.3U,COPPER Space Systems Research Laboratory,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,50 kg,DANDE University of Colorado,Boulder,Communication was lost after two months before drag experiment could be completed.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,5.8 kg,DOVE-1,DOVE-2 Planet Labs DOVE-1 mission ended after six da,"DOVE-1, DOVE-2 Planet Labs DOVE-1 mission ended after six days due to deploying in too low an orbit.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,DragonSat 1 Drexel University and US Naval Academy,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,ESTCube-1 University of Tartu,Estonia,"The primary mission was to deploy a tether to see if it would act as a space sail when charged. The team was able to successfully control the attitude of the satellite, but before the tether could be deployed, problems with solar panel degradation and electromagnetic disturbances inside the satellite prevented the tether from being extended.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,2U,GOMX-1 Aalborg University,Denmark,"The satellite residual dipole moment was much higher than anticipated and caused 3- axis control mode problems. The satellite could only achieve two-axis stabilization, meaning that the antenna did not always point downward. Magnetization of the helix antenna was likely root cause.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,HiNCube Høgskolen i Narvik (HiN),Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3.5 kg,Ho’oponopono 2 University of Hawaii and USAF,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,ICube-1 Institute of Space Technology,"Islamabad, Pakistan","Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,KySat-2 Kentucky Space Consortium,Unknown,"Two months after deployment, KySat-2 encountered a radiation- induced latchup that drained the batteries. The loss of power caused a reset of the C&DH and radio every hour. This ended the nominal operation of the satellite.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,NEE-01 Pegasus Ecuadorian Civilian Space Agency Experienced uncontrolled rotation due to the collision with debris in orbit,Unknown,"The satellite could not point its antenna correctly, making the signal undecipherable.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,72 kg,NEOS Sat CSA Computer algorithms controlling the fine pointing of the cameras to find space debris had problems,Unknown,The uploading of software fixes were not successful.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,NPS-SCAT Naval Postgraduate School,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,4 kg,ORSES US Army SMDC,Unknown,"Satellite deployed successfully, but general system failures prevented operational success.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,OSSI 1,Unknown,"Satellite deployed into orbit, but no signals were received. Open Source Satellite Initiative, South Korea",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,PicoDragon Vietnam National,Unknown,"Satellite Center Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,SENSE SV-1 US Air Force Bi-fold solar array failed to comple,Unknown,"SENSE SV-1 US Air Force Bi-fold solar array failed to completely deploy after launch. Vehicle somewhat stabilized after six months, but continued to tumble.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,SENSE SV-2 US Air Force Bi-fold and tri-fold solar arrays fa,Unknown,SENSE SV-2 US Air Force Bi-fold and tri-fold solar arrays failed to deploy as planned 30 minutes after launch. Spacecraft tumbling due to control system unable to control the partially deployed configuration.,Partial (stated in text),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1 kg,SOMP Techniche Universitat Dresden Placed into orbit,but th,"SOMP Techniche Universitat Dresden Placed into orbit, but there are no reports about the satellites ability to measure oxygen in the upper atmosphere.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,4 kg,STARE-B Lawrence Livermore National Laboratory,Unknown,"Successfully deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,STRaND-1 Surrey,Unknown,"Satellite Technology Limited and the University of Surrey Space Centre, UK. A geomagnetic storm cause the satellite to stop operation 27 days into the mission.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,SwampSat University of Florida,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,TJ3Sat Thomas Jefferson High School,"Alexandria, Virginia","Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,1U,Trailblazer 1 (SPA-1 Trailblazer) COSMIAC at University of New Mexico,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2013,3U,TurkSat-3USat Istanbul Technical University,Turkey TurkSat-,"TurkSat-3USat Istanbul Technical University, Turkey TurkSat-3USAT transmitted signals for one day, and then turned silent.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,59 kg,PROCYON JAXA,Japan Planned asteroid flyby missions could no,"PROCYON JAXA, Japan Planned asteroid flyby missions could not be performed due to partial failure of ion thrusters.",Partial (stated in text),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,4 kg,ALL-STAR/THEIA Colorado Space Grant Consortium (CoSGC) and Lockheed Martin,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,2 kg,ArduSat 2 NanoSatisfi Inc. Deployed from space shuttle succe,Unknown,"ArduSat 2 NanoSatisfi Inc. Deployed from space shuttle successfully, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,10 kg,BRITE-CA 2 (CanX 3F) University of Toronto,Canada,"Failed to separate from the Dnepr launch vehicle. 2014 1 U CHASQUI-1 SWSU, Peru Satellite deployed into orbit from ISS, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,50 kg,ChubuSat 1 Nagoya University consortium,Japan Although sate,"ChubuSat 1 Nagoya University consortium, Japan Although satellite was launched into orbit and beacon signal was received, the satellite could not be commanded to take any pictures of Earth or space debris as intended.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,27 kg,DX 1 Dauria Aerospace,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,110 kg,Flying Laptop,Unknown,"Satellite placed into orbit, but no data received. Institute of Space Systems (IRS), University of Stuttgart. 2014 1.5 U Invader (ArtSat 1) Tama Art University Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,ITF 1 University of Tsukuba,Japan,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,3U,+ sprites KickSat Cornell University,Unknown,The 104 Sprite femtosatellites were not released due to the release timer being accidentally reset by the watchdog processor.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1.5 kg,KSAT 2,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,3U,LambdaSat Lambda Student Team at San Jose State University,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,Lituanica-Sat 1 Innovative Engineering Projects,"Jonava, Lithuania",Satellite released from ISS and began to experience battery power loss due to negative power budget. EPS prevented critical failure. Camera took some pictures of Earth.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,3U,MicroMAS-1 Massachusetts Institute of Technology/Lincoln Lab,Unknown,MicroMAS-1 Massachusetts Institute of Technology/Lincoln Laboratory Deployed from ISS but a transmitter fault prevented any data from being downloaded.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,NanoSatC-Br1 CRS/CCR/INPE-MCT,Brazil Experienced low voltage problems,"3 months into mission. Battery failed after 5 months, but four months of useful data obtained.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1.4 kg,OPUSAT Osaka Prefecture University,Unknown,Presumed mission failure. No papers describing test data published after launch.,Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,2 kg,PACE National Cheng Kung University,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,PhoneSat 2.4 NASA Ames Research Center Solar flares cause so,Unknown,PhoneSat 2.4 NASA Ames Research Center Solar flares cause software to reset multiple times and eventually to fail.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,PhoneSat 2.5 NASA Ames Research Center Placed into orbit on,Unknown,"PhoneSat 2.5 NASA Ames Research Center Placed into orbit on Minotaur rocket, but no reported results or publications.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,250 kg,Relek Lavochkin (Russia) Although planned to have a 3- year life,the satellite ceased communication with the ground station after,5 months.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,15 kg,Shin’en Kagoshima University,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,35 kg,ShindaiSat Shinshu University,Japan Infrequent operation of,"ShindaiSat Shinshu University, Japan Infrequent operation of the optical transmitter impaired demonstration of the technology.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,SkyCube Southern Stars Group LLC,Unknown,"Successfully deployed from ISS, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,5 kg,SporeSat NASA Ames Research Center Placed into orbit but no,Unknown,SporeSat NASA Ames Research Center Placed into orbit but no data collected due to possible failure of life support systems.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,7.1 kg,SPROUT Nihon University,Japan,No data received.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,5 kg,4 kg STARS 2 Kagawa University and Takamatsu National Colleg,Unknown,"4 kg STARS 2 Kagawa University and Takamatsu National College of Technology, Japan. Mother-daughter tethered satellite experiment conducted before daughter and mother satellites became unstable due to electrical power shortage caused by solar paddle extension failure.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,20 kg,TeikyoSat-3,Unknown,"No signals received from spacecraft. Teikyo University, Tochigi, Japan",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,3 kg,TigriSat La Sapienza University of Rome,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,49 kg,TSUBAME Tokyo Institute of Technology,Japan Stopped receiving uplink commands during the initial checkout phase,Failed communication circuit suspected.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,1U,UAPSat 1 Universidad Alas Peruanas,Peru Deployed from nanor,"UAPSat 1 Universidad Alas Peruanas, Peru Deployed from nanorack deployer on ISS, but no signal received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,4.3 kg,VELOX-1,"VELOX P3 Nanyang Technological University, Singapore Ground contact established successfully","The satellite was detumbled was placed in sun pointing mode. All deployment mechanisms successfully activated including the solar panels, antennas, and optics. However intersatellite communication and Earth observation not successful.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2014,2 kg,ANTELSat FING,Uruguay,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1.5 kg,AeroCube-5,Unknown,"The Aerospace Corporation Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1 kg,AESP-14 ITA,INPE Brazil,"Satellite deployed from ISS, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1 kg,ARC 1 University of Alaska,Fairbanks,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,4 kg,Arkyd 3 Planetary Resources,Unknown,"Presumed mission failure. Successfully launched from ISS, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,1.9 kg,BRICSat-P US Naval Academy and George Washington University,Unknown,BRICSat-P US Naval Academy and George Washington University Issues with the power system prevented consistent communication from being established.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,3U,CADRE University of Michigan and NRL,Unknown,"Successfully deployed from ISS, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,447 kg,DMC 3 3A and 3C Surrey,Unknown,Satellite Technology Ltd. Images of Earth could not be captured due to downlink failure on both of these satellites.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,3U,DOS (DeOrbitSail) UK,"USA, France, Germany, South Africa, Greece, Turkey","The Netherlands High initial spin rate made satellite difficult to de- tumble, but eventually brought under control. Despite many attempts, the de-orbit sail could not be deployed.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,3U,ExoCube California Polytechnic University,Unknown,Satellite transmitter power too low to be useful. Antenna failed to deploy.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2015,5 kg,LMRSTSat Jet Propulsion Lab,Unknown,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
